date,session,examCode,subject,duration,time
05/06/2025,AM,WBI11,Biology 1 Modular,01:30,08:00
05/06/2025,PM,WME01,Mechanics 1 Modular,01:30,11:00
05/06/2025,PM,WPS01,Psychology 1 Modular,01:30,11:00
05/07/2025,AM,WCH11,Chemistry 1 Modular,01:30,08:00
05/08/2025,AM,WMA11,Pure Maths 1 Modular,01:30,08:00
05/08/2025,PM,WEC11,Economics 1 Modular,01:45,11:00
05/08/2025,PM,WIT11,Info Tech 1 Modular,02:00,11:00
05/08/2025,AM,1TU0,Turkish GCSE 1H,00:45,10:00
05/08/2025,AM,1TU0,Turkish GCSE 3H,01:05,10:00
05/08/2025,AM,4GN1,German GCSE 1,00:35,10:00
05/08/2025,AM,4GN1,German GCSE 2,01:45,10:00
05/08/2025,AM,4ES1,ESL GCSE 1,02:00,10:00
05/08/2025,AM,4IT1,ICT GCSE 1,01:30,10:00
05/09/2025,AM,WET01,Eng Lit 1 Modular,02:00,08:00
05/09/2025,PM,4BS1,Business GCSE 1,01:30,14:30
05/12/2025,AM,WCH12,Chemistry 2 Modular,01:30,08:00
05/12/2025,AM,WEN01,Eng Lang 1 Modular,01:45,08:00
05/13/2025,AM,WMA12,Pure Maths 2 Modular,01:30,08:00
05/13/2025,PM,4BI1,Biology GCSE 1B,02:00,14:30
05/14/2025,AM,WPH12,Physics 2 Modular,01:30,08:00
05/14/2025,AM,WEC12,Economics 2 Modular,01:45,08:00
05/14/2025,AM,WSP02,Spanish 2 Modular,02:30,08:00
05/14/2025,PM,4GE1,Geography GCSE 1,01:10,14:30
05/14/2025,PM,4EC1,Economics GCSE 1,01:30,14:30
05/15/2025,AM,WET02,Eng Lit 2 Modular,02:00,08:00
05/15/2025,AM,WHI01,History 1 Modular,02:00,08:00
05/15/2025,PM,4MA1,Maths A GCSE 1F,02:00,14:30
05/15/2025,PM,4MA1,Maths A GCSE 1H,02:00,14:30
05/16/2025,AM,WBI12,Biology 2 Modular,01:30,08:00
05/16/2025,PM,4HI1,History GCSE 1,01:30,14:30
05/16/2025,PM,4BS1,Business GCSE 2,01:30,14:30
05/19/2025,AM,WPH13,Physics 3 Modular,01:20,08:00
05/19/2025,AM,WIT12,Info Tech 2 Modular,03:00,08:00
05/19/2025,PM,4CH1,Chemistry GCSE 1C,02:00,14:30
05/20/2025,AM,WST01,Stats 1 Modular,01:30,08:00
05/20/2025,PM,4PM1,F.P. Maths GCSE 1,02:00,14:30
05/21/2025,AM,WBI13,Biology 3 Modular,01:20,08:00
05/21/2025,AM,WHI02,History 2 Modular,02:00,08:00
